"skos:prefLabel@en"," skos:definition@en","dcterms:source
  part 1 ","dcterms:source
  part 2","skos:prefeLabel@it
","skos:definition@it
","skos:hasTopConcept"
"data processing","systematic performance of operations upon data","consultation","ISO/IEC 20944-1:2013(en)","processazione dei dati","esecuzione sistematica di operazioni sui dati","Information Science and Data Management "
"data repository","implementation of a collection of data along with data access and control mechanisms, such as search, indexing, storage, retrieval and security
","consultation","ISO 20691:2022(en)","data repository","implementazione di una raccolta di dati insieme a meccanismi di accesso e controllo dei dati, come ricerca, indicizzazione, archiviazione, recupero e sicurezza","Information Science and Data Management "
"Data Space   ","secure and standardised digital infrastructure that enables trusted data transactions among various stakeholders based on common protocols and formats supporting data sovereignty","website","https://iate.europa.eu/search/result/1745954703618/1 [exact]","Spazio di Dati","un'infrastruttura digitale sicura e standardizzata che consente transazioni di dati affidabili tra le varie parti interessate sulla base di protocolli e formati comuni a supporto della sovranità dei dati","Information Science and Data Management "
"Common European Data Space for Cultural Heritage","data space that has been designed to support the creation, sharing and reuse of cultural content within the cultural and and creative sectors","website","https://iate.europa.eu/search/result/1745954703618/1 [exact] see also https://www.dataspace-culturalheritage.eu/en","Spazio Comune Europeo dei Dati per il Patrimonio Culturale","spazio dati che è stato progettato per supportare la creazione, la condivisione e il riutilizzo di contenuti culturali all'interno dei settori culturali e creativi","Other topics of interest"
"database","collection of data organized according to a conceptual structure describing the characteristics of these data and the relationships among their corresponding entities, supporting one or more application areas
","letters, consultation","ISO/IEC 20944-1:2013(en)","database","raccolta di dati organizzati secondo una struttura concettuale che descrive le caratteristiche di questi dati e le relazioni tra le entità corrispondenti, supportando una o più aree di applicazione","Information Science and Data Management "
"dataset","a collection of data, published or curated by a single agent, and available for access or download in one or more formats.","consultation","https://vocabs.sshopencloud.eu/browse/sshocterm/en/page/data_set_113","dataset","una raccolta di dati, pubblicati o curati da un singolo agente, e disponibili per l'accesso o il download in uno o più formati.","Information Science and Data Management "
"digital archive","digital data repository dedicated to the long-term preservation of the associated data","letters","ISO 24622-1:2015(en) [slightly adapted]","archivio digitale","repository di dati digitali dedicato alla conservazione a lungo termine dei dati associati","Information Science and Data Management "
"digital commons","shared digital resources—such as software, knowledge, data, and cultural content—that are collectively produced and governed by a community and intended for public use","WP5.3 course","Digital commons - Wikipedia","beni digitali comuni","risorse digitali condivise, come software, conoscenze, dati e contenuti culturali, prodotte e governate collettivamente da una comunità e destinate all'uso pubblico","Information Science and Data Management "
"digital ecosystem","an open, adaptable, distributed and interoperable infrastructure that connects actors, activities, and cultural heritage objects through a user-friendly and unified graphical user interface designed to suit the needs of the fragmented CH communities
","website, WP5.3 course","ECCCH_Report_FINAL.pdf","ecosistema digitale","un'infrastruttura aperta, adattabile, distribuita e interoperabile che collega attori, attività e oggetti del patrimonio culturale attraverso un'interfaccia utente grafica intuitiva e unificata progettata per soddisfare le esigenze delle comunità CH frammentate","Information Science and Data Management "
"digital heritage","unique resources of human knowledge and expression created digitally, or converted into digital form from existing analogue resources","letters","https://vocabularies.unesco.org/browser/thesaurus/en/page/?uri=http%3A%2F%2Fvocabularies.unesco.org%2Fthesaurus%2Fconcept8030   [exact]","patrimonio digitale","risorse uniche di conoscenza ed espressione umana create digitalmente o convertite in formato digitale da risorse analogiche esistenti","Cultural Heritage"
"digital tool","a software application, system, or device that uses digital technology to perform a specific task or set of tasks for a specific purpose","consultation, letters","https://en.wikipedia.org/wiki/Technical_standard","strumento digitale","un'applicazione software, un sistema o un dispositivo che utilizza la tecnologia digitale per eseguire un compito specifico o un insieme di compiti per uno scopo specifico","Information Science and Data Management "
"digitization","the process of convertig information (e.g. objects, text, sound, images or audio) from an analogue format into an electronic digital code (bits and bytes) that can be read by computers or other electronic devices","letters","https://www.getty.edu/vow/AATFullDisplay?find=digitization&logic=AND&note=&english=N&prev_page=1&subjectid=300202383 [adapted]","digitalizzazione","il processo di conversione delle informazioni (ad es. oggetti, testo, suono, immagini o audio) da un formato analogico in un codice digitale elettronico (bit e byte) che può essere letto da computer o altri dispositivi elettronici","Information Science and Data Management "
"distributed database","database that is physically decentralized and handled by a database management system in a way that provides a logically centralized view of the database to the user","consultation","ISO/IEC 2382:2015(en) ","database distribuito","database che è fisicamente decentralizzato e gestito da un sistema di gestione del database in modo da fornire all'utente una vista logicamente centralizzata del database","Information Science and Data Management "
"documentary asset","a mobile item or collection composed of signs, codes, sounds, and/or images, which can be conserved on inert supports, reproduced, and transported","letters","https://whc.unesco.org/en/faq/232   [exact]","bene documentario","un oggetto mobile o una collezione composta da segni, codici, suoni e/o immagini, che possono essere conservati su supporti inerti, riprodotti e trasportati","Cultural Heritage"
"FAIR data","a framework for enhancing scientific data management by ensuring data is Findable, Accessible, Interoperable, and Reusable","WP5.3 course","Sielli, A., Avgousti, A., Hermon, S., Demetrescu, E., Kowalska, J., Pawlikowski, K., Axaridou, A., Cignoni, P., Andújar, C., Durco, M., Kritsotakis, E., Theodoridou, M., Tzortzakakis, E., & Pitikakis, M. (2025). ECHOES Data Strategy for the CH Knowledge Base (D6.1). Zenodo. https://doi.org/10.5281/zenodo.17751757","dati FAIR","un quadro per migliorare la gestione dei dati scientifici garantendo che i dati siano trovabili, accessibili, interoperabili e riutilizzabili","Information Science and Data Management "
"federated architecture","a decentralised system design in which multiple autonomous components or subsystems integrate into a cohesive whole while retaining their independence and data ownership","WP5.3 course","Sielli, A., Avgousti, A., Hermon, S., Demetrescu, E., Kowalska, J., Pawlikowski, K., Axaridou, A., Cignoni, P., Andújar, C., Durco, M., Kritsotakis, E., Theodoridou, M., Tzortzakakis, E., & Pitikakis, M. (2025). ECHOES Data Strategy for the CH Knowledge Base (D6.1). Zenodo. https://doi.org/10.5281/zenodo.17751757","struttura decentralizzata","un sistema decentralizzato in cui più componenti o sottosistemi autonomi si integrano in un insieme coeso pur mantenendo la loro indipendenza e proprietà dei dati","Information Science and Data Management "
"federated infrastructure","a distributed, decentralised information technology system designed to pool and share data and computing resources across multiple independent providers, allowing data to remain at its source while enabling secure access and processing through unified technical and semantic standards","WP5.3 course","ECCCH_Report_FINAL.pdf","infrastruttura federata","un sistema informatico distribuito e decentralizzato progettato per mettere in comune e condividere dati e risorse informatiche tra più fornitori indipendenti, consentendo ai dati di rimanere alla fonte consentendo al contempo l'accesso e l'elaborazione sicuri attraverso standard tecnici e semantici unificati","Information Science and Data Management "
"graph database","a database designed to store and manage data as a network of nodes (entities) and relationships (connections)","consultation","https://memgraph.com/docs/data-modeling/graph-data-model","database a grafo","un database progettato per archiviare e gestire i dati come una rete di nodi (entità) e relazioni (connessioni)","Information Science and Data Management "
"heritage digital twin","the state-of-the-art digital information about a real-world heritage asset, encompassing its tangible and intangible components","WP5.3 course","Sielli, A., Avgousti, A., Hermon, S., Demetrescu, E., Kowalska, J., Pawlikowski, K., Axaridou, A., Cignoni, P., Andújar, C., Durco, M., Kritsotakis, E., Theodoridou, M., Tzortzakakis, E., & Pitikakis, M. (2025). ECHOES Data Strategy for the CH Knowledge Base (D6.1). Zenodo. https://doi.org/10.5281/zenodo.17751757","gemello digitale del patrimonio","le informazioni digitali all'avanguardia su un bene del patrimonio del mondo reale, comprese le sue componenti tangibili e intangibili","Cultural Heritage"
"heritage professional","a professional having heritage-related skills acquired by formal, informal or professional training, preforming tasks within the cultural heritage cycle, i.e. preservation, studying, researching, documenting, dissemination, protection, and more, which may be carried out both within and outside the heritage field","website"," based on ESS-net Culture Report 2012 and the ECHOES Charter","professionista del patrimonio ","un professionista con competenze relative al patrimonio acquisite attraverso la formazione formale, informale o professionale, che svolge compiti all'interno del ciclo del patrimonio culturale, vale a dire conservazione, studio, ricerca, documentazione, diffusione, protezione e altro, che possono essere svolti sia all'interno che all'esterno dell'ambito del patrimonio","Cultural Heritage"
"horizontal application","software or application designed for a broad audience across various industries, offering general-purpose features","WP5.3 course","Differences Between Horizontal and Vertical Applications - New Space Economy","integrazione orizzontale","software o applicazione progettati per un vasto pubblico in vari settori, che offrono funzionalità generiche","Information Science and Data Management "
"hot data","data in the computer storage that is frequently accessed","consultation","https://en.wikipedia.org/wiki/Graph_database","dati caldi","dati nella memoria del computer a cui si accede frequentemente","Information Science and Data Management "
"interoperability","a multi-layered framework focused on enabling different systems, data, and actors to work together cohesively, primarily to make data FAIR.
","WP5.3 course","ECCCH_Report_FINAL.pdf","interoperabilità","un quadro multilivello incentrato sul consentire a diversi sistemi, dati e attori di lavorare insieme in modo coeso, principalmente per rendere i dati FAIR.","Information Science and Data Management "
"inventory code
","a short alphanumeric string that uniquely identifies a product or item in an inventory system maintained by a company, organisation or individual","letters","https://www.investopedia.com/terms/s/stock-keeping-unit-sku.asp [exact]","codice di inventario","una breve stringa alfanumerica che identifica in modo univoco un prodotto o un articolo in un sistema di inventario gestito da un'azienda, un'organizzazione o un individuo","Information Science and Data Management "
"knowledge graph","graph representation of structured knowledge on concepts and relationships between them","website","ISO/IEC 5392:2024(en)","grafo della conoscenza","rappresentazione grafica di conoscenze strutturate su concetti e relazioni tra loro","Information Science and Data Management "
"metadata","data that defines and describes other data","letters, consultation","ISO 55013:2024(en)","metadati","dati che definiscono e descrivono altri dati","Information Science and Data Management "
"monument","an object, especially large and made of stone, built to remember and show respect to a person or group of people, or a special place made for this purpose","letters","https://iate.europa.eu/entry/result/47705/en","monumento","un oggetto, particolarmente grande e fatto di pietra, costruito per ricordare e mostrare rispetto a una persona o un gruppo di persone, o un luogo speciale realizzato per questo scopo","Cultural Heritage"
"museology","the theory and practice of the organisation, administration, functions, and technical processes of museums, including documentation and collections management, as well as their history, philosophy, and purposes.","letters","http://data.loterre.fr/ark:/67375/JLC-KZFQ1TDC-M","museologia","la teoria e la pratica dell'organizzazione, dell'amministrazione, delle funzioni e dei processi tecnici dei musei, compresa la documentazione e la gestione delle collezioni, nonché la loro storia, filosofia e scopi","Cultural Heritage"
"Natural Heritage Asset","component of the natural environment that has aesthetic, historic, scientific or social significance or other special value for society","consultation","https://iate.europa.eu/entry/result/1173587/en-fr","bene del patrimonio naturale","componente dell'ambiente naturale che ha un significato estetico, storico, scientifico o sociale o altro valore speciale per la società","Cultural Heritage"
"NoSQL database","a class of non-relational database systems that use flexible data models, such as key–value, document, wide-column, or graph models, to store and retrieve data without requiring a fixed schema","consultation","https://en.wikipedia.org/wiki/NoSQL","NoSQL database","una classe di sistemi di database non relazionali che utilizzano modelli di dati flessibili, come modelli chiave-valore, documento, colonna larga o grafico, per archiviare e recuperare dati senza richiedere uno schema fisso","Information Science and Data Management "
"object-oriented database","a type of database in which information is represented in the form of objects, in contrast to relational databases which are table-oriented","consultation","https://en.wikipedia.org/wiki/Object_database","database object-oriented","un tipo di database in cui le informazioni sono rappresentate sotto forma di oggetti, a differenza dei database relazionali che sono orientati alle tabelle","Information Science and Data Management "
"ontology","a formal, explicit specification of a shared conceptualisation, defining concepts and their relationships in a way that machines can use for reasoning","consultation","https://www.iso.org/obp/ui/en/#iso:std:iso:25964:-2:ed-1:v1:en","ontologia","una specificazione formale ed esplicita di una concettualizzazione condivisa, che definisce i concetti e le loro relazioni in un modo che le macchine possono utilizzare per il ragionamento","Information Science and Data Management "
"open file format","a type of file format for storing digital data defined by an openly published specification usually maintained by a standards organization, and which can be used and implemented by anyone","consultation","https://en.wikipedia.org/wiki/Open_file_format","formato file aperto","un tipo di formato di file per la memorizzazione di dati digitali definito da una specifica apertamente pubblicata solitamente gestita da un'organizzazione di standard e che può essere utilizzato e implementato da chiunque","Information Science and Data Management "
"open science","the practice of science in such a way that others can collaborate and contribute, where research data, lab notes and other research processes are freely available, under terms that enable reuse, redistribution and reproduction of the research and its underlying data and methods","website","https://vocabs.sshopencloud.eu/browse/sshocterm/en/page/open_science_167 [exact]","scienza aperta","L’utilizzo della scienza in modo tale che altri possano collaborare e contribuire, dove i dati della ricerca, gli appunti di laboratorio e altri processi di ricerca sono liberamente disponibili, in termini che consentono il riutilizzo, la ridistribuzione e la riproduzione della ricerca e dei dati e metodi sottostanti","Other topics of interest"
"painting material","painting or drawing equipment that serves as a convey medium for colour","letters","https://www.wikidata.org/wiki/Q3300034 [exact]","materiale per pittura","attrezzatura per la verniciatura o il disegno che funge da mezzo di trasporto per il colore","Other topics of interest"
"photogrammetry","data acquisition technology used to create high-fidelity 3D digital representations of physical objects, buildings, or archaeological sites by processing sets of 2D images","website","ECCCH_Report_FINAL.pdf","fotogrammetria","tecnologia di acquisizione dati utilizzata per creare rappresentazioni digitali 3D ad alta fedeltà di oggetti fisici, edifici o siti archeologici elaborando set di immagini 2D","Cultural Heritage"
"preservation","the process of safeguarding cultural heritage, whether an object, a building, or an area, in the widest sense and by means of legal protection, rehabilitation, material conservation, security, presentation etc.","letters","Herein System Terminology ","preservazione","il processo di salvaguardia del patrimonio culturale, sia esso un oggetto, un edificio o un'area, nel senso più ampio e attraverso la protezione legale, la riabilitazione, la conservazione dei materiali, la sicurezza, la presentazione, ecc.","Cultural Heritage"
"primary dataset","data collected from a source, which has not been subject to any other manipulation by a software program or a human researcher, analyst or technician","consultation","https://www.wikidata.org/wiki/Q2110223","dataset primario","dati raccolti da una fonte, che non è stata oggetto di alcuna altra manipolazione da parte di un programma software o di un ricercatore, analista o tecnico umano","Cultural Heritage"
"proprietary format","a file format of a company, organization, or individual that contains data that is ordered and stored according to a particular encoding-scheme","consultation","https://en.wikipedia.org/wiki/Proprietary_file_format","formato proprietario","un formato di file di un'azienda, un'organizzazione o un individuo che contiene dati ordinati e archiviati in base a un particolare schema di codifica","Information Science and Data Management "
"relational database","a database that stores data in structured tables consisting of rows and columns, where relationships between data are defined through keys, enabling efficient querying, updating, and integrity constraints","consultation","https://en.wikipedia.org/wiki/Relational_database [adapted]","database relazionale","un database che memorizza i dati in tabelle strutturate costituite da righe e colonne, in cui le relazioni tra i dati sono definite tramite chiavi, consentendo query efficienti, aggiornamenti e vincoli di integrità","Information Science and Data Management "
"rendering","conversion of the geometry, coloring, texturing, lighting, and other characteristics of a scene into a display image
","consultation","ISO/IEC 2382:2015(en)","rendering","conversione della geometria, della colorazione, della texture, dell'illuminazione e di altre caratteristiche di una scena in un'immagine di visualizzazione","Information Science and Data Management "
"research data management","the systematic process of organising, describing, storing, sharing, protecting, and preserving data generated or used throughout the research lifecycle","letters","https://loterre.istex.fr/TSO/en/page/-GDCXNW8F-5 [adapted]","gestione dei dati della ricerca","il processo sistematico di organizzazione, descrizione, archiviazione, condivisione, protezione e conservazione dei dati generati o utilizzati durante l'intero ciclo di vita della ricerca","Information Science and Data Management "
"rural ruin","the remains of structures or buildings located in the countryside, often abandoned and partially collapsed, reflecting past rural life and land use
","letters","https://www.collinsdictionary.com/dictionary/english/ruin   [exact]","rovina rurale","i resti di strutture o edifici situati in campagna, spesso abbandonati e parzialmente crollati, che riflettono la vita rurale del passato e l'uso del suolo","Cultural Heritage"
"secondary dataset","data resulting from the interpretation of data initially produced by another researcher, available in journals, repositories, archives and other publications.","consultation","https://loterre.istex.fr/TSO/en/page/-D80R1KX4-5","dataset secondario","dati derivanti dall'interpretazione di dati inizialmente prodotti da un altro ricercatore, disponibili su riviste, repository, archivi e altre pubblicazioni.","Information Science and Data Management "
"server","a computer or software system that provides data, resources, or services to other computers (clients) over a network","consultation","https://en.wikipedia.org/wiki/Server_(computing)","server","un sistema informatico o software che fornisce dati, risorse o servizi ad altri computer (client) su una rete","Information Science and Data Management "
"service","a system that provides one or more functions of value to the end-user","consultation","https://vocabs.acdh.oeaw.ac.at/arche_category/en/page/service","servizio","un sistema che fornisce una o più funzioni di valore all'utente finale","Information Science and Data Management "
"spatialisation","the spatial forms that social activities and material things, phenomena or processes take on in geography, sociology, urban planning and cultural studies","consultation","https://en.wikipedia.org/wiki/Spatialization","spazializzazione","le forme spaziali che le attività sociali e le cose, i fenomeni o i processi materiali assumono in geografia, sociologia, urbanistica e studi culturali","Cultural Heritage"
"sustainability        ","a multifaceted principle that ensures the long-term viability and impact of an organisation or infrastructure","letters","Pollé, A., Vendrix, P., Czech, L., Petitcol, R., Gallini, C., Stadlinger, E., Steindl, C., Puhr, A., Marçal, E., Szatucsek, Z., Habibi Minelli, S., & Nowak, A. (2025). ECHOES Founding principles of the Cloud Governance (D10.1). Zenodo. https://doi.org/10.5281/zenodo.17599162","sostenibilità","un principio sfaccettato che garantisce la fattibilità e l'impatto a lungo termine di un'organizzazione o di un'infrastruttura","Cultural Heritage"
"standard","a set of established – sometimes also de facto – norms that serve as a reference for ensuring consistency, quality, and interoperability in processes, products, or organisational structures","consultation","Pollé, A., Vendrix, P., Czech, L., Petitcol, R., Gallini, C., Stadlinger, E., Steindl, C., Puhr, A., Marçal, E., Szatucsek, Z., Habibi Minelli, S., & Nowak, A. (2025). ECHOES Founding principles of the Cloud Governance (D10.1). Zenodo. https://doi.org/10.5281/zenodo.17599162","standard","un insieme di norme consolidate – a volte anche di fatto – che fungono da riferimento per garantire coerenza, qualità e interoperabilità nei processi, nei prodotti o nelle strutture organizzative","Cultural Heritage"
"technical storage","a mechanism to store, retrieve or update information that will persist beyond the scope of an activity","website","https://www.unified-am.com/UAM/UAM/guidances/termdefinitions/uam_technical_storage_7D711A8F.html  [adapted]","archiviazione tecnica","un meccanismo per archiviare, recuperare o aggiornare le informazioni che persisteranno oltre l'ambito di un'attività","Information Science and Data Management "
"topographical database","a structured collection of digital data that captures detailed geographic and spatial information about the Earth's surface and human-made structures  ","letters","https://www.maanmittauslaitos.fi/en/maps-and-spatial-data/datasets-and-interfaces/product-descriptions/topographic-database#:~:text=The%20key%20objects%20in%20the,in%20updating%20the%20Topographic%20database.    [adapted]","database topografico","una raccolta strutturata di dati digitali che acquisisce informazioni geografiche e spaziali dettagliate sulla superficie terrestre e sulle strutture create dall'uomo ","Information Science and Data Management "
"topographical heritage
","set of cultural, historical and symbolic values associated with the physical relief and landforms of a geographic area as modified or interpreted by human activity over time","letters","https://whc.unesco.org/ [adapted]","patrimonio topografico","insieme di valori culturali, storici e simbolici associati al rilievo fisico e alle morfologie di un'area geografica come modificate o interpretate dall'attività umana nel tempo","Cultural Heritage"
